ESP Indicator Name,Model Name,Unit of Entry,Conversion Factor,Note
"Agriculture, Land Use and Forestry|Agriculture emissions|BC",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|CH4",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|CO",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|CO2",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|F-gases",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|N2O",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|NOx",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|OC",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|PM10",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|PM2.5",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|SOx",,,,
"Agriculture, Land Use and Forestry|Agriculture emissions|VOC",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Biomass",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Electricity",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Hard coal",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Heat",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Natural gas",,,,
"Agriculture, Land Use and Forestry|Agriculture energy use|Petroleum diesel",,,,
"Agriculture, Land Use and Forestry|Land Cover|Cropland",,,,
"Agriculture, Land Use and Forestry|Land Cover|Energy Crops",,,,
"Agriculture, Land Use and Forestry|Land Cover|Forest",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by afforestation and reforestation",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by avoided deforestation",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by forest restoration",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by forest set-asides",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by improved forest management",,,,
"Agriculture, Land Use and Forestry|Land Cover|Land area affected by peatland restoration",,,,
"Agriculture, Land Use and Forestry|Land Cover|Other",,,,
"Agriculture, Land Use and Forestry|Land Cover|Pasture",,,,
"Agriculture, Land Use and Forestry|Land Cover|Total",,,,
"Agriculture, Land Use and Forestry|LULUCF anthropogenic emissions|CH4",,,,
"Agriculture, Land Use and Forestry|LULUCF anthropogenic emissions|CO2",,,,
"Agriculture, Land Use and Forestry|LULUCF anthropogenic emissions|N2O",,,,
