ESP indicator name,*model* Indicator name,Stackable sub-category?,Standardized Unit,Unit of Entry,Conversion factor,Definition
"Agriculture, Land Use and Forestry|Land Cover|Cropland",,,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Energy Crops",,,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Forest",,,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Other",,,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Pasture",,,million Ha/yr,,,
"Agriculture, Land Use and Forestry|Land Cover|Total",,,million Ha/yr,,,
Buildings|,,,,,,
Buildings|Emissions|CO2e ,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Biomass,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Electricity,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Hard Coal,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Heat,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Liquids,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Natural Gas,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Net Electricity Demand,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Petroleum Diesel,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Solids,,,EJ/yr,,,
Buildings|Energy Use by Fuel|Total,,,EJ/yr,,,
Climate and Health impacts|Annual Sea-level Rise,,,cm/yr,,,
Climate and Health impacts|CO2 concentration,,,ppm,,,
Climate and Health impacts|Global Warming,,,degree C,,,
Climate and Health impacts|Global Warming|High estimate,,,degree C,,,
Climate and Health impacts|Global Warming|Low estimate,,,degree C,,,
Climate and Health impacts|lives saved from reduced particle pollution,,,lives/yr,,,
Climate and Health impacts|Monetized health impacts,,,$US,,,
Climate and Health impacts|Radiative Forcing,,,W/m^2,,,
Climate and Health impacts|Total Sea-level Rise,,,cm,,,
Electricity|Capacity additions by technology|Biomass w/ CCS,,,GW,,,
Electricity|Capacity additions by technology|Biomass w/o CCS,,,GW/yr,,,
Electricity|Capacity additions by technology|Coal w/ CCS,,,GW,,,
Electricity|Capacity additions by technology|Coal w/o CCS,,,GW/yr,,,
Electricity|Capacity additions by technology|Gas w/ CCS,,,GW,,,
Electricity|Capacity additions by technology|Gas w/o CCS,,,GW/yr,,,
Electricity|Capacity additions by technology|Geothermal,,,GW/yr,,,
Electricity|Capacity additions by technology|Hydro,,,GW/yr,,,
Electricity|Capacity additions by technology|Nuclear,,,GW/yr,,,
Electricity|Capacity additions by technology|Offshore Wind,,,GW/yr,,,
Electricity|Capacity additions by technology|Oil w/ CCS,,,GW,,,
Electricity|Capacity additions by technology|Oil w/o CCS,,,GW/yr,,,
Electricity|Capacity additions by technology|Onshore Wind,,,GW/yr,,,
