Model,Scenario,Region,Category,Stack family,Name,Standardized Unit,Unit of Entry,Conversion factor,Definition,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070
,,,Emissions,Emissions by sector,Industry,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Transport,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Electricity,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Agriculture,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Buildings,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Land Use and Forestry,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,Waste,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,Emissions by sector,<fill in sectors>,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,GHG Emissions by gas,CO2,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,GHG Emissions by gas,CH4,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,GHG Emissions by gas,N2O,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,GHG Emissions by gas,F-gases,Gt CO2e/yr,,,,,,,,,,,,,,,,,
,,,Emissions,,Particulate Matter (2.5) emissions,thousand metric tons/yr,,,,,,,,,,,,,,,,,
,,,Emissions,,Particulate Matter (10) emissions,thousand metric tons/yr,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,Global Warming,degree C,,,mean global temperature change relative to pre-industrial levels,,,,,,,,,,,,,,
,,,Climate and Health impacts,,Radiative Forcing,W/m^2,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,Total Sea-level Rise,cm,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,Annual Sea-level Rise,cm/yr,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,CO2 concentration,ppm,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,Monetized health impacts relative to reference scenario,$US,,,,,,,,,,,,,,,,,
,,,Climate and Health impacts,,lives saved from reduced particle pollution,lives/yr,,,,,,,,,,,,,,,,,
,,,Population and Economy,,Population,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by educational level,<fill in educational levels>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by educational level,<fill in educational levels>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by income,<fill in income levels>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by income,<fill in income levels>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by age,<fill in age groups>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,Population by age,<fill in age groups>,Millions,,,,,,,,,,,,,,,,,
,,,Population and Economy,,GDP PPP,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,,GDP MER,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,GDP PPP by sector,<fill in sectors>,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,GDP PPP by sector,<fill in sectors>,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,GDP MER by sector,<fill in sectors>,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,GDP MER by sector,<fill in sectors>,2016 $US,,,,,,,,,,,,,,,,,
,,,Population and Economy,,Net Trade Balance,2016 $US,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Industry,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Transport,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Electricity,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Agriculture,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Buildings,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Land Use and Forestry,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by sector,Waste,EJ/yr,,,,,,,,,,,,,,,,,
,,,,Energy use by sector,<fill in sectors>,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Coal,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Gas,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Oil,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Solar,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Wind,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Biomass,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Nuclear,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Geothermal,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Peat,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,Energy use by fuel,Hydrogen,EJ/yr,,,,,,,,,,,,,,,,,
,,,Energy,,,,,,,,,,,,,,,,,,,,
,,,Energy,,,,,,,,,,,,,,,,,,,,
,,,Energy,,,,,,,,,,,,,,,,,,,,
,,,Energy,,,,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity by technology,Coal,GW,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity by technology,Coal with CCS,GW,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity by technology,Gas,GW,,,,,,,,,,,,,,,,,
,,,Electricity,Capacity by technology,Gas with CCS,GW,,,,,,,,,,,,,,,,,
